,Week,Name1,Score1,Name2,Score2,Type
388,7,Team GM,148.26,Team Caleb,92.46,Regular
389,7,Team TP,103.8,Team DH,106.88,Regular
390,8,Team RW,119.46,Team WR,119.56,Regular
391,8,Team BD,107.22,Team BL,108.46,Regular
392,8,Team JN,96.68,Team GM,120.2,Regular
393,8,Team WN,124.5,Team TP,114.76,Regular
394,8,Team Caleb,126.02,Team DH,84.98,Regular
395,9,Team WR,92.12,Team BL,90.48,Regular
396,9,Team GM,49.5,Team RW,115.22,Regular
397,9,Team TP,134.72,Team BD,118.84,Regular
398,9,Team DH,65.78,Team JN,92.6,Regular
399,9,Team Caleb,89.52,Team WN,144.2,Regular
400,10,Team GM,113.42,Team WR,170.42,Regular
401,10,Team BL,98.26,Team TP,104.38,Regular
402,10,Team RW,94.78,Team DH,97.42,Regular
403,10,Team BD,126.02,Team Caleb,88.78,Regular
404,10,Team JN,104.62,Team WN,101.84,Regular
405,11,Team WR,124.8,Team TP,72.64,Regular
406,11,Team DH,139.66,Team GM,97.38,Regular
407,11,Team Caleb,94.46,Team BL,108.2,Regular
408,11,Team WN,96.64,Team RW,106.7,Regular
409,11,Team JN,116.64,Team BD,98.4,Regular
410,12,Team DH,108.98,Team WR,122.12,Regular
411,12,Team TP,102.5,Team Caleb,112.64,Regular
412,12,Team GM,118.62,Team WN,116.16,Regular
413,12,Team BL,140.5,Team JN,110.28,Regular
414,12,Team RW,118.66,Team BD,105.98,Regular
415,13,Team DH,100.82,Team BL,101.52,Regular
416,13,Team JN,145.72,Team RW,78.78,Regular
417,13,Team GM,118.8,Team WR,108.6,Regular
418,13,Team WN,120.96,Team TP,151.38,Regular
419,13,Team BD,125.06,Team Caleb,124.76,Regular
420,14,,,Team JN,0.0,Playoff
421,14,Team BD,0.0,Team WR,0.0,Playoff
422,14,Team DH,0.0,Team GM,0.0,Playoff
423,14,,,Team BL,0.0,Playoff
424,14,Team Caleb,0.0,Team WN,0.0,Playoff
425,14,Team RW,0.0,Team TP,0.0,Playoff
426,1,Team WR,95.32,Team GM,133.84,Regular
427,1,Team TP,99.76,Team BL,86.8,Regular
428,1,Team DH,82.16,Team RW,65.44,Regular
429,1,Team Caleb,78.68,Team BD,104.56,Regular
430,1,Team WN,69.64,Team JN,123.64,Regular
431,2,Team TP,148.76,Team WR,138.86,Regular
432,2,Team GM,108.0,Team DH,110.98,Regular
433,2,Team BL,102.42,Team Caleb,99.48,Regular
434,2,Team RW,84.76,Team WN,85.04,Regular
435,2,Team BD,89.4,Team JN,95.24,Regular
436,3,Team WR,124.52,Team DH,124.98,Regular
437,3,Team Caleb,128.06,Team TP,101.48,Regular
438,3,Team WN,149.96,Team GM,139.18,Regular
439,3,Team JN,101.96,Team BL,67.68,Regular
440,3,Team BD,106.8,Team RW,93.92,Regular
441,4,Team Caleb,142.7,Team WR,83.28,Regular
442,4,Team DH,137.24,Team WN,81.38,Regular
443,4,Team TP,63.64,Team JN,131.9,Regular
444,4,Team GM,104.82,Team BD,113.88,Regular
445,4,Team BL,150.06,Team RW,94.8,Regular
446,5,Team WR,103.92,Team WN,69.24,Regular
447,5,Team JN,99.48,Team Caleb,97.22,Regular
448,5,Team BD,111.48,Team DH,102.84,Regular
449,5,Team RW,176.06,Team TP,56.76,Regular
450,5,Team BL,116.32,Team GM,163.34,Regular
451,6,Team JN,78.22,Team WR,102.58,Regular
452,6,Team WN,121.34,Team BD,119.78,Regular
453,6,Team Caleb,112.4,Team RW,78.56,Regular
454,6,Team DH,96.62,Team BL,113.6,Regular
455,6,Team TP,97.24,Team GM,101.54,Regular
456,7,Team WR,66.34,Team BD,95.96,Regular
457,7,Team RW,98.4,Team JN,99.86,Regular
458,7,Team BL,129.06,Team WN,113.96,Regular
459,7,Team GM,148.26,Team Caleb,92.46,Regular
460,7,Team TP,103.8,Team DH,106.88,Regular
461,8,Team RW,119.46,Team WR,119.56,Regular
462,8,Team BD,107.22,Team BL,108.46,Regular
463,8,Team JN,96.68,Team GM,120.2,Regular
464,8,Team WN,124.5,Team TP,114.76,Regular
465,8,Team Caleb,126.02,Team DH,84.98,Regular
466,9,Team WR,92.12,Team BL,90.48,Regular
467,9,Team GM,49.5,Team RW,115.22,Regular
468,9,Team TP,134.72,Team BD,118.84,Regular
469,9,Team DH,65.78,Team JN,92.6,Regular
470,9,Team Caleb,89.52,Team WN,144.2,Regular
471,10,Team GM,113.42,Team WR,170.42,Regular
472,10,Team BL,98.26,Team TP,104.38,Regular
473,10,Team RW,94.78,Team DH,97.42,Regular
474,10,Team BD,126.02,Team Caleb,88.78,Regular
475,10,Team JN,104.62,Team WN,101.84,Regular
476,11,Team WR,124.8,Team TP,72.64,Regular
477,11,Team DH,139.66,Team GM,97.38,Regular
478,11,Team Caleb,94.46,Team BL,108.2,Regular
479,11,Team WN,96.64,Team RW,106.7,Regular
480,11,Team JN,116.64,Team BD,98.4,Regular
481,12,Team DH,108.98,Team WR,122.12,Regular
482,12,Team TP,102.5,Team Caleb,112.64,Regular
483,12,Team GM,118.62,Team WN,116.16,Regular
484,12,Team BL,140.5,Team JN,110.28,Regular
485,12,Team RW,118.66,Team BD,105.98,Regular
486,13,Team DH,100.82,Team BL,101.52,Regular
487,13,Team JN,145.72,Team RW,78.78,Regular
488,13,Team GM,118.8,Team WR,108.6,Regular
489,13,Team WN,120.96,Team TP,151.38,Regular
490,13,Team BD,125.06,Team Caleb,124.76,Regular
491,14,,,Team JN,0.0,Playoff
492,14,Team BD,0.0,Team WR,0.0,Playoff
493,14,Team DH,0.0,Team GM,0.0,Playoff
494,14,,,Team BL,0.0,Playoff
495,14,Team Caleb,0.0,Team WN,0.0,Playoff
